CPU,CPU Cores,CPU Threads,CPU TDP (W),GPU,GPU Series,GPU VRAM (GB),GPU Bandwidth (GB/s),GPU TDP (W),Total System TDP (W),Bottleneck Score,RAM (GB),Resolution,Graphics Settings,Min FPS,Avg FPS,Max FPS
Ryzen 9 5900X,12,24,105,RTX 4060,RTX 4000,8,272,120,225,2.92,32,2560x1440,Low,50,67,74
Intel i9-13900K,24,32,125,RTX 4090,RTX 4000,24,1012,200,325,3.75,32,1920x1080,High,81,99,122
Intel i9-13900K,24,32,125,RTX 2080,RTX 2000,8,448,150,275,2.5,8,2560x1440,Ultra,38,48,58
Ryzen 7 7800X3D,8,16,120,RTX 3080 Ti,RTX 3000,12,912,200,320,6.12,32,3840x2160,High,46,55,64
Intel i5-12400F,6,12,65,RTX 2060,RTX 2000,6,336,150,215,5.0,8,3840x2160,High,27,34,43
Ryzen 7 5800X,8,16,105,RTX 3060 Ti,RTX 3000,8,448,150,255,4.38,16,3840x2160,Medium,37,44,49
Intel i7-12700F,12,20,65,RX 6600,RX 6000,8,224,200,265,2.75,16,1920x1080,Ultra,28,39,47
Intel i3-12100F,4,8,58,RTX 4080,RTX 4000,16,716,300,358,13.12,8,2560x1440,Medium,63,85,94
Ryzen 5 5600X,6,12,65,RX 7700 XT,RX 7000,12,432,150,215,6.25,8,3840x2160,High,32,44,50
Intel i5-12600K,10,16,125,RX 7800 XT,RX 7000,16,624,150,275,5.31,32,1920x1080,Ultra,42,59,67
Ryzen 5 7600X,6,12,105,RTX 4080,RTX 4000,16,716,300,405,8.75,8,2560x1440,High,63,80,95
Intel i3-12100F,4,8,58,GTX 1660,GTX 1000,6,192,150,208,6.25,16,3840x2160,High,19,25,32
Intel i5-12400F,6,12,65,RTX 4070 Ti,RTX 4000,12,576,300,365,7.5,16,2560x1440,Low,71,89,98
Ryzen 7 5800X,8,16,105,RX 7800 XT,RX 7000,16,624,300,405,5.31,16,3840x2160,Ultra,28,34,38
Intel i5-12600K,10,16,125,GTX 1080 Ti,GTX 1000,11,484,250,375,4.06,32,1920x1080,Low,58,73,91
Intel i7-12700F,12,20,65,RTX 3070,RTX 3000,8,448,120,185,4.0,32,3840x2160,Ultra,27,39,48
Ryzen 9 7950X,16,32,170,RTX 4080,RTX 4000,16,716,300,470,3.28,8,1920x1080,Low,99,121,146
Intel i9-14900K,24,32,125,RTX 3090,RTX 3000,24,936,120,245,3.12,16,2560x1440,Ultra,45,60,66
Intel i3-12100F,4,8,58,GTX 1060,GTX 1000,6,192,200,258,5.62,32,3840x2160,Low,28,38,45
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,300,365,4.58,16,2560x1440,Ultra,24,31,37
Intel i9-14900K,24,32,125,GTX 1650 Super,GTX 1000,4,192,200,325,1.25,32,3840x2160,Ultra,12,16,18
Intel i3-12100F,4,8,58,Intel Arc A750,Intel Arc,8,512,120,178,6.88,8,1920x1080,Low,50,66,79
Ryzen 5 5600X,6,12,65,RTX 3070,RTX 3000,8,448,150,215,6.67,8,3840x2160,High,34,43,51
Intel i9-12900K,16,24,125,RTX 3080,RTX 3000,10,760,120,245,3.96,8,3840x2160,High,38,48,58
Ryzen 9 7950X,16,32,170,GTX 1060,GTX 1000,6,192,200,370,1.41,16,2560x1440,Low,33,41,49
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,250,355,2.5,8,3840x2160,Medium,16,23,26
Ryzen 9 7950X,16,32,170,RTX 4080,RTX 4000,16,716,200,370,3.28,32,3840x2160,High,45,58,68
Ryzen 9 5900X,12,24,105,Intel Arc A770,Intel Arc,16,560,200,305,2.71,8,1920x1080,High,46,58,71
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,300,405,2.5,16,3840x2160,High,15,21,24
Intel i7-12700F,12,20,65,RTX 3060,RTX 3000,12,360,200,265,3.25,16,3840x2160,Low,38,54,65
Intel i5-12600K,10,16,125,GTX 1060,GTX 1000,6,192,120,245,2.81,32,1920x1080,Low,44,54,61
Ryzen 3 4100,4,8,65,RX 7600,RX 7000,8,288,200,265,7.5,16,3840x2160,Medium,30,37,45
Intel i7-13700K,16,24,125,RX 6900 XT,RX 6000,16,512,300,425,3.75,16,3840x2160,Low,47,68,78
Intel i9-12900K,16,24,125,RX 7800 XT,RX 7000,16,624,150,275,3.54,8,1920x1080,Ultra,47,56,68
Ryzen 9 7950X3D,16,32,170,RTX 4080 Super,RTX 4000,16,742,150,320,3.38,16,1920x1080,Medium,77,105,120
Ryzen 7 5800X,8,16,105,RX 6600,RX 6000,8,224,300,405,3.44,8,2560x1440,Ultra,22,28,31
Ryzen 3 4100,4,8,65,RTX 3090,RTX 3000,24,936,120,185,12.5,16,3840x2160,Medium,49,66,81
Ryzen 3 4100,4,8,65,RX 6600,RX 6000,8,224,300,365,6.88,16,1920x1080,Ultra,30,41,51
Intel i3-12100F,4,8,58,RX 7800 XT,RX 7000,16,624,150,208,10.62,8,1920x1080,Ultra,43,56,64
Intel i9-12900K,16,24,125,Intel Arc A770,Intel Arc,16,560,250,375,2.71,32,2560x1440,Low,51,63,78
Ryzen 9 7950X3D,16,32,170,RX 7600,RX 7000,8,288,300,470,1.88,32,1920x1080,Medium,44,63,69
Intel i9-12900K,16,24,125,GTX 1650 Super,GTX 1000,4,192,300,425,1.67,32,3840x2160,Low,19,27,34
Ryzen 7 7800X3D,8,16,120,RTX 2070,RTX 2000,8,448,250,370,4.38,8,3840x2160,High,27,35,41
Intel i9-12900K,16,24,125,RTX 3080,RTX 3000,10,760,200,325,3.96,32,2560x1440,Medium,60,83,102
Intel i9-12900K,16,24,125,RTX 4080,RTX 4000,16,716,300,425,4.38,8,2560x1440,Low,75,105,115
Ryzen 9 5900X,12,24,105,Intel Arc A750,Intel Arc,8,512,300,405,2.29,8,3840x2160,Low,33,42,46
Intel i7-12700F,12,20,65,GTX 1070,GTX 1000,8,256,250,315,2.75,32,2560x1440,Medium,32,47,60
Ryzen 9 5900X,12,24,105,RTX 4070 Super,RTX 4000,12,504,200,305,3.67,8,1920x1080,Ultra,50,65,81
Intel i7-12700F,12,20,65,RX 6800,RX 6000,16,512,300,365,4.0,16,1920x1080,High,58,70,78
Ryzen 9 5900X,12,24,105,RTX 3090,RTX 3000,24,936,300,405,4.17,32,1920x1080,Low,85,122,146
Intel i3-12100F,4,8,58,RX 6600,RX 6000,8,224,250,308,6.88,32,3840x2160,Medium,28,38,42
Ryzen 3 4100,4,8,65,RTX 3090,RTX 3000,24,936,150,215,12.5,32,3840x2160,Ultra,32,44,54
Ryzen 9 5900X,12,24,105,RX 7600,RX 7000,8,288,200,305,2.5,32,1920x1080,High,37,51,59
Ryzen 7 7800X3D,8,16,120,GTX 1650 Super,GTX 1000,4,192,120,240,2.5,32,3840x2160,Low,22,28,36
Intel i9-13900K,24,32,125,RX 7800 XT,RX 7000,16,624,250,375,2.66,32,2560x1440,High,49,62,68
Intel i3-12100F,4,8,58,GTX 1070,GTX 1000,8,256,120,178,6.88,32,1920x1080,Ultra,26,37,42
Intel i5-12400F,6,12,65,RX 6600,RX 6000,8,224,150,215,4.58,32,2560x1440,High,31,44,55
Ryzen 9 7950X3D,16,32,170,RX 6800 XT,RX 6000,16,512,300,470,2.66,32,1920x1080,Medium,69,89,101
Intel i9-14900K,24,32,125,Intel Arc A770,Intel Arc,16,560,200,325,2.03,16,3840x2160,Low,33,48,54
Ryzen 7 7800X3D,8,16,120,RTX 4080 Super,RTX 4000,16,742,120,240,6.75,16,3840x2160,Ultra,38,50,62
Intel i5-12600K,10,16,125,RTX 4060,RTX 4000,8,272,150,275,4.38,16,3840x2160,High,31,43,52
Ryzen 9 7950X,16,32,170,RX 6600 XT,RX 6000,8,256,300,470,1.88,16,3840x2160,Low,33,43,52
Ryzen 5 5600X,6,12,65,RTX 4080,RTX 4000,16,716,250,315,8.75,32,1920x1080,High,72,92,113
Ryzen 9 7950X3D,16,32,170,RTX 3080 Ti,RTX 3000,12,912,120,290,3.06,32,2560x1440,Ultra,44,57,63
Ryzen 3 4100,4,8,65,GTX 1060,GTX 1000,6,192,200,265,5.62,32,2560x1440,Medium,32,40,47
Intel i3-12100F,4,8,58,RTX 3090,RTX 3000,24,936,300,358,12.5,8,1920x1080,High,67,83,96
Intel i9-12900K,16,24,125,RX 7600,RX 7000,8,288,150,275,2.5,8,2560x1440,High,34,47,60
Ryzen 9 7950X3D,16,32,170,RTX 3060 Ti,RTX 3000,8,448,300,470,2.19,16,1920x1080,Medium,48,67,77
Ryzen 7 5800X,8,16,105,Intel Arc A750,Intel Arc,8,512,300,405,3.44,8,1920x1080,Low,53,67,81
Intel i5-12400F,6,12,65,RX 7600,RX 7000,8,288,200,265,5.0,16,2560x1440,High,39,47,57
Ryzen 9 7950X3D,16,32,170,RTX 3060,RTX 3000,12,360,250,420,2.03,16,3840x2160,High,25,33,36
Ryzen 9 7950X3D,16,32,170,RTX 2080,RTX 2000,8,448,120,290,2.5,16,3840x2160,High,38,47,55
Ryzen 9 7950X,16,32,170,RTX 4070 Ti,RTX 4000,12,576,200,370,2.81,8,3840x2160,Low,53,71,79
Ryzen 3 4100,4,8,65,RTX 3060,RTX 3000,12,360,150,215,8.12,8,3840x2160,High,27,33,38
Ryzen 9 7950X3D,16,32,170,RX 6800,RX 6000,16,512,250,420,2.5,32,1920x1080,Ultra,43,58,68
Intel i9-12900K,16,24,125,GTX 1650 Super,GTX 1000,4,192,250,375,1.67,8,3840x2160,Medium,22,28,33
Intel i9-13900K,24,32,125,Intel Arc A750,Intel Arc,8,512,300,425,1.72,16,3840x2160,Medium,27,38,45
Ryzen 5 7600X,6,12,105,RX 7700 XT,RX 7000,12,432,150,255,6.25,32,2560x1440,High,40,57,63
Intel i5-12400F,6,12,65,RTX 3070,RTX 3000,8,448,200,265,6.67,32,2560x1440,Ultra,34,43,49
Ryzen 3 4100,4,8,65,RTX 4080 Super,RTX 4000,16,742,300,365,13.5,8,1920x1080,Ultra,59,74,90
Intel i9-12900K,16,24,125,RTX 4060,RTX 4000,8,272,120,245,2.92,32,2560x1440,High,40,50,59
Ryzen 7 7800X3D,8,16,120,RTX 4060,RTX 4000,8,272,300,420,4.38,8,2560x1440,Medium,50,60,71
Ryzen 7 7800X3D,8,16,120,GTX 1060,GTX 1000,6,192,200,320,2.81,16,1920x1080,Medium,31,42,48
Ryzen 7 7800X3D,8,16,120,RTX 4090,RTX 4000,24,1012,150,270,7.5,32,2560x1440,High,73,87,102
Intel i3-12100F,4,8,58,GTX 1650 Super,GTX 1000,4,192,150,208,5.0,32,3840x2160,Medium,18,23,28
Intel i9-12900K,16,24,125,RX 6600 XT,RX 6000,8,256,250,375,2.5,8,1920x1080,Low,58,76,84
Intel i5-12600K,10,16,125,GTX 1080 Ti,GTX 1000,11,484,150,275,4.06,8,2560x1440,Medium,46,56,65
Ryzen 5 5600X,6,12,65,RX 6800 XT,RX 6000,16,512,200,265,7.08,8,3840x2160,Medium,39,55,60
Ryzen 5 7600X,6,12,105,RX 7600,RX 7000,8,288,150,255,5.0,32,2560x1440,High,35,42,52
Ryzen 9 7950X,16,32,170,RX 6800,RX 6000,16,512,200,370,2.5,16,3840x2160,High,32,44,49
Ryzen 7 5800X,8,16,105,RX 6700 XT,RX 6000,12,384,150,255,4.38,16,2560x1440,Medium,42,54,67
Ryzen 7 5800X,8,16,105,RTX 4060,RTX 4000,8,272,120,225,4.38,32,2560x1440,Low,63,75,89
Ryzen 9 5900X,12,24,105,RTX 4060,RTX 4000,8,272,250,355,2.92,8,3840x2160,Medium,32,45,57
Ryzen 7 7800X3D,8,16,120,RTX 3080 Ti,RTX 3000,12,912,300,420,6.12,16,1920x1080,Ultra,46,65,79
Ryzen 3 4100,4,8,65,RTX 4060,RTX 4000,8,272,120,185,8.75,16,3840x2160,High,24,35,39
Ryzen 9 7950X,16,32,170,RX 6800 XT,RX 6000,16,512,120,290,2.66,8,2560x1440,Ultra,34,48,62
Intel i9-12900K,16,24,125,GTX 1080 Ti,GTX 1000,11,484,150,275,2.71,8,2560x1440,High,39,49,56
Intel i3-12100F,4,8,58,RX 7700 XT,RX 7000,12,432,250,308,9.38,16,1920x1080,High,50,61,79
Intel i5-12400F,6,12,65,RTX 4080,RTX 4000,16,716,150,215,8.75,8,1920x1080,Medium,77,102,123
Intel i9-13900K,24,32,125,RTX 3090,RTX 3000,24,936,250,375,3.12,8,2560x1440,Low,85,106,124
Intel i9-14900K,24,32,125,RTX 2080,RTX 2000,8,448,250,375,2.5,32,1920x1080,Ultra,45,58,75
Ryzen 7 7800X3D,8,16,120,RTX 4070,RTX 4000,12,504,120,240,5.31,32,2560x1440,Medium,60,74,89
Ryzen 3 4100,4,8,65,RX 7600,RX 7000,8,288,120,185,7.5,8,3840x2160,High,21,31,38
Intel i9-14900K,24,32,125,RX 6800,RX 6000,16,512,150,275,2.5,8,2560x1440,Low,66,84,99
Intel i3-12100F,4,8,58,RTX 2080,RTX 2000,8,448,150,208,10.0,32,3840x2160,Ultra,27,37,41
Ryzen 9 7950X3D,16,32,170,GTX 1070,GTX 1000,8,256,300,470,1.72,32,3840x2160,High,18,25,28
Intel i7-12700F,12,20,65,GTX 1650 Super,GTX 1000,4,192,250,315,2.0,16,2560x1440,Medium,31,38,47
Intel i9-13900K,24,32,125,RTX 2070,RTX 2000,8,448,250,375,2.19,16,3840x2160,Ultra,25,34,37
Ryzen 5 5600X,6,12,65,RX 7700 XT,RX 7000,12,432,300,365,6.25,32,1920x1080,Medium,59,73,84
Intel i9-12900K,16,24,125,GTX 1060,GTX 1000,6,192,120,245,1.88,16,3840x2160,Medium,19,27,31
Ryzen 7 7800X3D,8,16,120,RTX 3060,RTX 3000,12,360,300,420,4.06,32,1920x1080,High,42,52,64
Ryzen 7 7800X3D,8,16,120,RTX 3060 Ti,RTX 3000,8,448,200,320,4.38,32,3840x2160,Ultra,20,28,33
Intel i7-12700F,12,20,65,GTX 1080 Ti,GTX 1000,11,484,150,215,3.25,8,3840x2160,Low,38,54,68
Intel i7-12700F,12,20,65,RX 7700 XT,RX 7000,12,432,300,365,3.75,8,1920x1080,Low,74,90,110
Ryzen 3 4100,4,8,65,RTX 2080 Ti,RTX 2000,11,616,250,315,10.62,32,2560x1440,Medium,51,74,95
Intel i5-12600K,10,16,125,RX 6900 XT,RX 6000,16,512,200,325,5.62,16,3840x2160,Low,58,70,82
Intel i5-12400F,6,12,65,RTX 4090,RTX 4000,24,1012,300,365,10.0,32,3840x2160,Low,66,89,114
Intel i7-12700F,12,20,65,GTX 1080 Ti,GTX 1000,11,484,300,365,3.25,32,3840x2160,Medium,29,41,50
Intel i9-12900K,16,24,125,RX 6700 XT,RX 6000,12,384,250,375,2.92,32,3840x2160,Low,44,55,68
Intel i7-12700F,12,20,65,Intel Arc A770,Intel Arc,16,560,250,315,3.25,32,1920x1080,Ultra,31,43,55
Ryzen 7 5800X,8,16,105,RTX 4070 Ti,RTX 4000,12,576,200,305,5.62,16,3840x2160,High,38,48,60
Intel i9-14900K,24,32,125,RTX 3070,RTX 3000,8,448,120,245,2.5,16,2560x1440,High,47,62,73
Ryzen 5 5600X,6,12,65,RTX 2070,RTX 2000,8,448,200,265,5.83,16,3840x2160,Medium,33,40,45
Intel i3-12100F,4,8,58,RTX 4090,RTX 4000,24,1012,200,258,15.0,8,3840x2160,Medium,54,73,82
Intel i9-14900K,24,32,125,RTX 3080,RTX 3000,10,760,120,245,2.97,8,2560x1440,High,54,69,78
Ryzen 5 7600X,6,12,105,RX 7600,RX 7000,8,288,200,305,5.0,32,1920x1080,Ultra,36,44,49
Intel i5-12400F,6,12,65,RX 6600,RX 6000,8,224,120,185,4.58,16,1920x1080,Low,52,64,75
Intel i9-14900K,24,32,125,RTX 2060,RTX 2000,6,336,150,275,1.88,8,3840x2160,Ultra,17,25,30
Ryzen 5 7600X,6,12,105,RX 7800 XT,RX 7000,16,624,250,355,7.08,8,3840x2160,Medium,40,50,58
Intel i5-12600K,10,16,125,RTX 3080,RTX 3000,10,760,120,245,5.94,16,2560x1440,High,48,65,77
Ryzen 7 7800X3D,8,16,120,RTX 3090,RTX 3000,24,936,250,370,6.25,32,1920x1080,Ultra,55,69,86
Intel i9-13900K,24,32,125,RX 7700 XT,RX 7000,12,432,120,245,2.34,32,2560x1440,Medium,51,64,73
Ryzen 3 4100,4,8,65,RX 6800,RX 6000,16,512,200,265,10.0,8,2560x1440,Low,63,83,97
Ryzen 7 5800X,8,16,105,RTX 2070,RTX 2000,8,448,150,255,4.38,16,2560x1440,Medium,50,60,71
Ryzen 9 7950X,16,32,170,RTX 2080,RTX 2000,8,448,120,290,2.5,32,1920x1080,Medium,63,78,99
Intel i5-12400F,6,12,65,RTX 3080 Ti,RTX 3000,12,912,250,315,8.17,16,3840x2160,Medium,46,58,65
Ryzen 9 7950X3D,16,32,170,RTX 2070,RTX 2000,8,448,200,370,2.19,32,2560x1440,Medium,43,59,71
Ryzen 9 7950X3D,16,32,170,Intel Arc A750,Intel Arc,8,512,150,320,1.72,16,3840x2160,Low,34,43,47
Intel i5-12400F,6,12,65,RTX 4060,RTX 4000,8,272,200,265,5.83,8,1920x1080,High,49,59,65
Ryzen 7 5800X,8,16,105,GTX 1080 Ti,GTX 1000,11,484,120,225,4.06,32,1920x1080,High,45,54,64
Ryzen 5 7600X,6,12,105,RX 7700 XT,RX 7000,12,432,120,225,6.25,8,3840x2160,Low,46,55,66
Intel i5-12400F,6,12,65,RTX 3080 Ti,RTX 3000,12,912,200,265,8.17,16,3840x2160,High,43,54,59
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,120,225,5.31,8,1920x1080,High,60,73,93
Ryzen 3 4100,4,8,65,RTX 3080,RTX 3000,10,760,300,365,11.88,16,1920x1080,High,58,82,96
Intel i9-14900K,24,32,125,RX 6700 XT,RX 6000,12,384,300,425,2.19,16,1920x1080,Medium,61,74,86
Intel i7-13700K,16,24,125,RTX 3070,RTX 3000,8,448,200,325,3.33,32,3840x2160,Medium,42,52,66
Intel i7-13700K,16,24,125,RX 6800,RX 6000,16,512,150,275,3.33,16,1920x1080,Medium,58,75,93
Ryzen 5 7600X,6,12,105,Intel Arc A750,Intel Arc,8,512,250,355,4.58,16,3840x2160,Low,35,46,54
Ryzen 3 4100,4,8,65,Intel Arc A750,Intel Arc,8,512,200,265,6.88,8,1920x1080,Low,50,62,75
Intel i9-14900K,24,32,125,RTX 3080,RTX 3000,10,760,300,425,2.97,16,1920x1080,Low,89,109,122
Ryzen 9 7950X3D,16,32,170,RTX 4070 Super,RTX 4000,12,504,250,420,2.75,16,1920x1080,Ultra,44,61,69
Intel i3-12100F,4,8,58,RTX 4090,RTX 4000,24,1012,150,208,15.0,32,2560x1440,Medium,75,103,117
Ryzen 9 7950X,16,32,170,RX 7700 XT,RX 7000,12,432,300,470,2.34,16,3840x2160,High,34,45,56
Ryzen 7 7800X3D,8,16,120,RTX 4070 Ti,RTX 4000,12,576,150,270,5.62,32,2560x1440,Low,66,87,110
Ryzen 7 7800X3D,8,16,120,RTX 2080,RTX 2000,8,448,250,370,5.0,32,3840x2160,Ultra,32,39,44
Ryzen 7 7800X3D,8,16,120,RTX 4070,RTX 4000,12,504,300,420,5.31,8,2560x1440,Ultra,38,49,54
Intel i7-13700K,16,24,125,RX 6900 XT,RX 6000,16,512,300,425,3.75,8,3840x2160,Ultra,30,43,53
Intel i7-13700K,16,24,125,RX 6600 XT,RX 6000,8,256,150,275,2.5,16,2560x1440,High,29,38,48
Ryzen 9 7950X,16,32,170,GTX 1070,GTX 1000,8,256,120,290,1.72,32,2560x1440,High,33,41,46
Intel i5-12600K,10,16,125,GTX 1660,GTX 1000,6,192,300,425,3.12,32,3840x2160,Ultra,16,21,24
Intel i9-12900K,16,24,125,RX 6600,RX 6000,8,224,150,275,2.29,8,3840x2160,Ultra,22,27,32
Intel i9-12900K,16,24,125,Intel Arc A750,Intel Arc,8,512,200,325,2.29,16,1920x1080,Low,51,64,82
Intel i9-12900K,16,24,125,GTX 1660,GTX 1000,6,192,250,375,2.08,8,1920x1080,Medium,37,51,60
Intel i3-12100F,4,8,58,RX 7700 XT,RX 7000,12,432,300,358,9.38,32,1920x1080,Medium,58,76,90
Intel i3-12100F,4,8,58,RTX 3080 Ti,RTX 3000,12,912,150,208,12.25,32,3840x2160,High,45,55,62
Intel i7-13700K,16,24,125,RTX 2080 Ti,RTX 2000,11,616,300,425,3.54,8,3840x2160,High,30,43,52
Ryzen 5 5600X,6,12,65,RTX 4080,RTX 4000,16,716,300,365,8.75,8,1920x1080,Low,90,125,154
Intel i9-12900K,16,24,125,RX 6900 XT,RX 6000,16,512,250,375,3.75,8,3840x2160,High,33,45,52
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,200,325,5.0,16,3840x2160,Low,44,62,78
Ryzen 9 5900X,12,24,105,RX 7900 XTX,RX 7000,24,960,300,405,4.38,32,1920x1080,Medium,78,100,129
Intel i5-12600K,10,16,125,RX 7600,RX 7000,8,288,300,425,3.75,16,3840x2160,High,25,34,40
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,300,405,2.5,32,3840x2160,Ultra,15,20,25
Intel i9-14900K,24,32,125,RTX 4060,RTX 4000,8,272,150,275,2.19,8,1920x1080,Low,62,79,88
Ryzen 9 5900X,12,24,105,RX 6700 XT,RX 6000,12,384,150,255,2.92,16,1920x1080,High,47,60,66
Ryzen 5 5600X,6,12,65,RTX 3090,RTX 3000,24,936,200,265,8.33,16,1920x1080,High,63,85,93
Ryzen 5 7600X,6,12,105,RX 6600 XT,RX 6000,8,256,250,355,5.0,8,3840x2160,Low,35,43,55
Ryzen 9 7950X3D,16,32,170,RTX 2080,RTX 2000,8,448,200,370,2.5,16,3840x2160,Medium,36,48,61
Ryzen 9 7950X,16,32,170,RX 6700 XT,RX 6000,12,384,300,470,2.19,32,3840x2160,Low,42,52,60
Intel i3-12100F,4,8,58,RTX 3070,RTX 3000,8,448,200,258,10.0,16,3840x2160,High,28,39,49
Ryzen 7 7800X3D,8,16,120,Intel Arc A770,Intel Arc,16,560,200,320,4.06,8,3840x2160,Ultra,24,30,37
Intel i5-12400F,6,12,65,RTX 4090,RTX 4000,24,1012,200,265,10.0,16,2560x1440,Low,95,126,159
Intel i9-13900K,24,32,125,RX 7900 XTX,RX 7000,24,960,120,245,3.28,8,2560x1440,Medium,61,87,99
Ryzen 9 7950X,16,32,170,RX 7800 XT,RX 7000,16,624,300,470,2.66,32,1920x1080,Ultra,42,56,67
Ryzen 5 5600X,6,12,65,RTX 4070 Ti,RTX 4000,12,576,250,315,7.5,32,1920x1080,Low,78,109,135
Ryzen 7 7800X3D,8,16,120,RX 7900 XTX,RX 7000,24,960,120,240,6.56,16,1920x1080,Low,104,130,158
Ryzen 5 7600X,6,12,105,RX 6900 XT,RX 6000,16,512,200,305,7.5,32,1920x1080,Low,89,110,121
Intel i9-13900K,24,32,125,RTX 4070 Ti,RTX 4000,12,576,120,245,2.81,16,1920x1080,Medium,65,87,103
Ryzen 3 4100,4,8,65,Intel Arc A750,Intel Arc,8,512,150,215,6.88,8,1920x1080,High,32,41,49
Ryzen 7 5800X,8,16,105,RTX 4070 Ti,RTX 4000,12,576,200,305,5.62,32,2560x1440,Medium,62,79,89
Ryzen 5 7600X,6,12,105,RX 6800 XT,RX 6000,16,512,120,225,7.08,8,1920x1080,Medium,67,84,94
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,250,375,5.0,32,2560x1440,Medium,53,68,86
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,250,355,5.31,32,2560x1440,Medium,60,74,82
Intel i7-13700K,16,24,125,GTX 1070,GTX 1000,8,256,250,375,2.29,8,3840x2160,Ultra,19,24,29
Ryzen 9 7950X3D,16,32,170,RTX 3080,RTX 3000,10,760,200,370,2.97,32,1920x1080,Medium,69,92,104
Ryzen 5 7600X,6,12,105,RX 6900 XT,RX 6000,16,512,150,255,7.5,8,2560x1440,Low,68,91,108
Ryzen 5 5600X,6,12,65,RTX 4080 Super,RTX 4000,16,742,200,265,9.0,32,3840x2160,Medium,54,66,83
Intel i5-12600K,10,16,125,RTX 4070,RTX 4000,12,504,150,275,5.31,16,3840x2160,Ultra,28,39,44
Ryzen 9 7950X3D,16,32,170,RX 6600,RX 6000,8,224,250,420,1.72,8,1920x1080,High,38,49,61
Ryzen 5 7600X,6,12,105,RTX 3080 Ti,RTX 3000,12,912,300,405,8.17,32,1920x1080,Low,95,121,144
Ryzen 9 7950X,16,32,170,RTX 4070 Ti,RTX 4000,12,576,120,290,2.81,16,3840x2160,Low,55,66,73
Ryzen 7 7800X3D,8,16,120,RTX 4070 Ti,RTX 4000,12,576,120,240,5.62,8,2560x1440,Low,63,88,107
Intel i7-13700K,16,24,125,Intel Arc A750,Intel Arc,8,512,200,325,2.29,16,2560x1440,High,30,40,45
Ryzen 5 5600X,6,12,65,RTX 4070,RTX 4000,12,504,150,215,7.08,8,2560x1440,High,49,62,74
Ryzen 5 5600X,6,12,65,RTX 2080 Ti,RTX 2000,11,616,200,265,7.08,8,2560x1440,Low,72,88,103
Intel i3-12100F,4,8,58,RTX 3080 Ti,RTX 3000,12,912,300,358,12.25,32,2560x1440,Ultra,42,56,65
Intel i9-13900K,24,32,125,RTX 3060,RTX 3000,12,360,250,375,2.03,8,2560x1440,Medium,45,55,64
Intel i7-13700K,16,24,125,RTX 4060,RTX 4000,8,272,250,375,2.92,8,3840x2160,Medium,31,40,45
Ryzen 9 5900X,12,24,105,GTX 1650 Super,GTX 1000,4,192,300,405,1.67,32,1920x1080,Medium,35,43,54
Ryzen 9 5900X,12,24,105,RTX 3060,RTX 3000,12,360,250,355,2.71,32,2560x1440,Ultra,31,41,46
Intel i3-12100F,4,8,58,RX 7700 XT,RX 7000,12,432,200,258,9.38,32,3840x2160,Medium,36,48,58
Intel i5-12400F,6,12,65,RTX 2080,RTX 2000,8,448,120,185,6.67,32,3840x2160,Ultra,27,35,45
Intel i7-13700K,16,24,125,RX 7900 XTX,RX 7000,24,960,250,375,4.38,32,2560x1440,Ultra,48,58,64
Intel i5-12600K,10,16,125,RTX 4070,RTX 4000,12,504,250,375,5.31,16,3840x2160,Low,46,66,78
Ryzen 5 7600X,6,12,105,RX 6700 XT,RX 6000,12,384,200,305,5.83,16,2560x1440,High,37,47,57
Ryzen 3 4100,4,8,65,RTX 2080 Ti,RTX 2000,11,616,300,365,10.62,32,3840x2160,Ultra,24,35,45
Intel i3-12100F,4,8,58,RTX 4060,RTX 4000,8,272,150,208,8.75,8,2560x1440,Low,58,71,82
Ryzen 3 4100,4,8,65,RTX 4090,RTX 4000,24,1012,150,215,15.0,32,2560x1440,Low,85,118,143
Ryzen 9 7950X,16,32,170,RTX 4070 Super,RTX 4000,12,504,120,290,2.75,32,1920x1080,High,52,72,86
Ryzen 5 7600X,6,12,105,GTX 1070,GTX 1000,8,256,250,355,4.58,16,1920x1080,Medium,43,57,67
Intel i9-12900K,16,24,125,RTX 3070,RTX 3000,8,448,150,275,3.33,8,3840x2160,High,36,45,50
Ryzen 9 7950X,16,32,170,RX 6600 XT,RX 6000,8,256,250,420,1.88,16,2560x1440,High,36,45,54
Ryzen 7 7800X3D,8,16,120,RX 7600,RX 7000,8,288,250,370,3.75,32,2560x1440,Medium,37,54,69
Ryzen 7 7800X3D,8,16,120,RTX 4070 Ti,RTX 4000,12,576,250,370,5.62,8,3840x2160,Low,58,74,95
Ryzen 3 4100,4,8,65,RTX 4080,RTX 4000,16,716,150,215,13.12,8,2560x1440,High,57,73,87
Intel i9-13900K,24,32,125,RX 7900 XTX,RX 7000,24,960,120,245,3.28,16,2560x1440,Medium,71,89,112
